[00:00:00.000] (7f49633b1d80) INFO   Handling event Startup
[00:00:00.000] (7f49615746c0) TRACE  registering event source with poller: token=Token(139951844888064), interests=READABLE | WRITABLE
[00:00:00.999] (7f49633b1d80) INFO   Handling event Tick
[00:00:01.139] (7f49633b1d80) INFO   Handling event Tick
[00:00:02.141] (7f49633b1d80) INFO   Handling event Tick
[00:00:03.142] (7f49633b1d80) INFO   Handling event Tick
[00:00:04.143] (7f49633b1d80) INFO   Handling event Tick
[00:00:05.145] (7f49633b1d80) INFO   Handling event Tick
[00:00:06.146] (7f49633b1d80) INFO   Handling event Tick
[00:00:06.301] (7f49633b1d80) INFO   Handling event Quit
[00:00:06.302] (7f49631ac6c0) TRACE  deregistering event source from poller
